Age,Gender,Occupation_Status,Country_Region,Monthly_Income_Range,Shop_Most_Where,Online_Shopping_Frequency,Preferred_Platform,Primary_Device,Top_Spending_Category,Review_Influence_Score,Social_Ads_Influence_Score,Price_Comparison_Frequency,Discount_Importance_Score,Follows_Brands_On_Social,Likely_To_Buy_After_Ad_Score,Makes_Shopping_List,Impulse_Purchase_Frequency,Return_Frequency,Avg_Monthly_Spend_NonEssentials,Preferred_Payment_Method,Uses_BNPL_Installments,Online_Shopping_Satisfaction_Score,Trust_In_Online_Reviews_Score,Regret_After_Purchase_Frequency,Reason_Prefer_Online,Reason_Prefer_InStore,Best_Shopping_Mode,Cluster
,Female,Employed full-time,Mexico,"$3,000-6,000",Online only,Often,Local e-commerce,Smartphone,Clothing,4.0,5.0,4.0,4.0,No,4.0,Never,2.0,Never,$300-500,Digital wallet,,10.0,4.0,2.0,Better prices,Trust,Online,0
17.0,Prefer not to say,Student,Mexico,"$1,000-3,000",Equal mix,Often,Local e-commerce,Laptop,Electronics,,4.0,4.0,4.0,No,5.0,Often,2.0,Sometimes,$50-150,Digital wallet,"No, never",,,,,,,1
18.0,Prefer not to say,Student,Pakistan,"$1,000-3,000",Online only,Occasionally,Physical stores,Smartphone,Books,2.0,3.0,5.0,4.0,Yes,3.0,Always,1.0,Often,$150-300,Cash,"No, never",,,,,,,1
41.0,Female,Employed full-time,United Kingdom,"Under $1,000",,Often,Brand websites,Laptop,Clothing,3.0,5.0,4.0,5.0,No,2.0,Sometimes,3.0,Never,$50-150,Digital wallet,"No, never",6.0,5.0,3.0,Better prices,Try product before buying,Offline,0
34.0,Male,Employed part-time,Mexico,"$1,000-3,000",Online only,Occasionally,Brand websites,Smartphone,Clothing,5.0,4.0,5.0,5.0,No,3.0,Sometimes,4.0,Never,$150-300,Credit Card,"No, never",10.0,3.0,3.0,More variety,Trust,Online,0
39.0,Male,Employed full-time,India,"$1,000-3,000",Equal mix,Always,Global marketplace (Amazon etc.),Smartphone,miscellaneous,3.0,2.0,5.0,4.0,No,1.0,Never,1.0,Sometimes,$50-150,Cash,"No, never",6.0,6.0,1.0,More variety,Not applicable,Online,0
21.0,Female,Student,India,"Under $1,000",Online only,Occasionally,Brand websites,,miscellaneous,4.0,2.0,3.0,3.0,No,3.0,Sometimes,2.0,Never,$50-150,Digital wallet,"Yes, occasionally",7.0,6.0,3.0,Not applicable,Try product before buying,,1
31.0,Male,Employed full-time,United States,"$6,000+",Equal mix,Often,Physical stores,Smartphone,Clothing,2.0,4.0,3.0,4.0,No,3.0,Never,2.0,Sometimes,$150-300,Digital wallet,"No, never",,2.0,2.0,Convenience,Not applicable,Online,0
22.0,Male,Student,Vietnam,"Under $1,000",Online only,Occasionally,Brand websites,Laptop,Clothing,3.0,2.0,4.0,4.0,Yes,,Sometimes,2.0,Often,Under $50,Debit Card,"No, never",7.0,7.0,4.0,Convenience,Trust,Online,1
16.0,Female,Student,,"$1,000-3,000",In-store only,Often,Physical stores,Laptop,Clothing,4.0,5.0,4.0,5.0,Yes,4.0,Often,4.0,Often,Under $50,Digital wallet,"Yes, occasionally",6.0,7.0,3.0,Better prices,No delivery wait,Equal / both,1
16.0,Male,Student,Pakistan,"$6,000+",In-store only,Rarely,Physical stores,Smartphone,Clothing,3.0,2.0,2.0,,No,2.0,Always,1.0,Sometimes,$500+,Debit Card,"No, never",,,,,,,0
26.0,Female,Employed full-time,India,"$1,000-3,000",Online only,Often,Brand websites,Smartphone,miscellaneous,2.0,,5.0,,No,2.0,Sometimes,,,Under $50,Credit Card,"No, never",,2.0,3.0,More variety,Try product before buying,Online,0
20.0,Male,Student,United States,"Under $1,000",Equal mix,Often,Global marketplace (Amazon etc.),Laptop,Books,5.0,5.0,4.0,1.0,No,5.0,Never,4.0,Never,Under $50,,"No, never",6.0,4.0,,More variety,Try product before buying,Equal / both,1
24.0,Male,Student,Vietnam,"Under $1,000",Equal mix,Occasionally,Brand websites,Smartphone,Electronics,4.0,3.0,5.0,4.0,No,4.0,Sometimes,1.0,Often,$50-150,Debit Card,"Yes, occasionally",10.0,,3.0,Convenience,Not applicable,Equal / both,1
21.0,Prefer not to say,Student,Philippines,"Under $1,000",Online only,Rarely,,Smartphone,Beauty & personal care,3.0,3.0,5.0,4.0,No,4.0,,1.0,Never,Under $50,Digital wallet,"No, never",9.0,6.0,2.0,Better prices,,Equal / both,1
18.0,Male,Student,,"Under $1,000",In-store only,,Physical stores,Smartphone,Groceries,3.0,3.0,3.0,5.0,No,5.0,Never,3.0,Sometimes,Under $50,Credit Card,"No, never",9.0,5.0,1.0,More variety,Try product before buying,Offline,1
19.0,Prefer not to say,Student,Brazil,"$3,000-6,000",Equal mix,,Global marketplace (Amazon etc.),Laptop,Electronics,4.0,4.0,5.0,4.0,No,3.0,Never,3.0,Sometimes,$150-300,Debit Card,"Yes, regularly",6.0,10.0,2.0,More variety,Try product before buying,Equal / both,1
27.0,Male,Employed full-time,United States,"$1,000-3,000",Online only,Often,Local e-commerce,Smartphone,Clothing,4.0,4.0,5.0,3.0,Yes,5.0,Sometimes,3.0,Sometimes,Under $50,Digital wallet,"Yes, occasionally",7.0,6.0,2.0,Convenience,Try product before buying,Equal / both,1
26.0,Female,Employed full-time,Kenya,"$3,000-6,000",Online only,Occasionally,Local e-commerce,Smartphone,Beauty & personal care,2.0,4.0,3.0,5.0,No,3.0,,2.0,Often,$50-150,Digital wallet,"No, never",7.0,7.0,1.0,More variety,No delivery wait,Online,0
36.0,Male,Self-employed,Slovakia,"Under $1,000",Equal mix,Often,Brand websites,Laptop,Clothing,3.0,3.0,5.0,3.0,No,2.0,Never,2.0,Never,$50-150,Cash,"Yes, regularly",,7.0,1.0,Convenience,Not applicable,Offline,0
29.0,Female,Unemployed,Pakistan,"$1,000-3,000",Online only,Occasionally,Brand websites,Smartphone,Clothing,4.0,3.0,5.0,3.0,No,4.0,Never,4.0,Often,$50-150,Cash,"No, never",9.0,6.0,1.0,More variety,Trust,Online,1
16.0,Male,Student,Colombia,"Under $1,000",Online only,Often,Global marketplace (Amazon etc.),Smartphone,miscellaneous,3.0,1.0,2.0,4.0,No,1.0,Never,3.0,Never,$50-150,Credit Card,"Yes, regularly",5.0,8.0,2.0,Convenience,Not applicable,Online,1
29.0,Female,Unemployed,Nigeria,"Under $1,000",Equal mix,,Physical stores,Smartphone,Beauty & personal care,,3.0,5.0,3.0,No,3.0,,3.0,Never,Under $50,Credit Card,"No, never",9.0,6.0,,More variety,No delivery wait,Online,1
27.0,Prefer not to say,Employed part-time,Poland,"Under $1,000",Online only,Rarely,Local e-commerce,Smartphone,Beauty & personal care,2.0,3.0,5.0,5.0,Yes,,Often,1.0,Sometimes,$50-150,Digital wallet,"No, never",4.0,8.0,2.0,Better prices,Not applicable,Online,0
22.0,Male,Student,,"Under $1,000",Equal mix,Always,Local e-commerce,Smartphone,Clothing,3.0,5.0,5.0,3.0,No,3.0,Sometimes,5.0,Never,$50-150,Debit Card,"No, never",7.0,5.0,4.0,Convenience,Try product before buying,Online,1
31.0,Male,Employed full-time,Egypt,"$1,000-3,000",Equal mix,Occasionally,Brand websites,Smartphone,Electronics,5.0,2.0,5.0,4.0,No,3.0,Always,4.0,Sometimes,$150-300,Debit Card,"No, never",8.0,4.0,1.0,Better prices,No delivery wait,Online,0
21.0,Male,Employed part-time,United States,"Under $1,000",Equal mix,Rarely,Global marketplace (Amazon etc.),Smartphone,Groceries,3.0,2.0,3.0,3.0,,2.0,Sometimes,3.0,Often,$50-150,Digital wallet,"Yes, occasionally",7.0,7.0,2.0,Convenience,Trust,Offline,1
20.0,Female,Student,Colombia,"Under $1,000",Equal mix,Always,Global marketplace (Amazon etc.),Smartphone,Electronics,,3.0,,5.0,No,3.0,Often,2.0,Sometimes,Under $50,Digital wallet,"No, never",6.0,6.0,2.0,Convenience,No delivery wait,Equal / both,1
27.0,Male,Employed part-time,Turkiye,"$1,000-3,000",Equal mix,Occasionally,Global marketplace (Amazon etc.),Laptop,Groceries,3.0,4.0,,5.0,No,2.0,Often,1.0,Often,$50-150,Debit Card,"Yes, occasionally",6.0,4.0,1.0,Convenience,Trust,,0
22.0,,Employed part-time,Turkiye,"Under $1,000",Equal mix,Always,Local e-commerce,Laptop,Clothing,2.0,3.0,4.0,3.0,No,,Never,1.0,Often,Under $50,Debit Card,"No, never",7.0,3.0,2.0,Better prices,Try product before buying,Offline,1
19.0,Male,Employed part-time,,"Under $1,000",Equal mix,Often,Brand websites,Smartphone,Clothing,5.0,3.0,4.0,5.0,No,4.0,Often,5.0,Sometimes,Under $50,,"No, never",7.0,4.0,4.0,Convenience,Try product before buying,Online,1
32.0,Male,Employed part-time,Colombia,"$6,000+",In-store only,Rarely,Brand websites,Laptop,Beauty & personal care,1.0,2.0,4.0,3.0,No,1.0,Sometimes,2.0,Sometimes,$300-500,Debit Card,"Yes, occasionally",7.0,6.0,4.0,Convenience,No delivery wait,Offline,0
19.0,Male,Student,Nigeria,"Under $1,000",Equal mix,Occasionally,Physical stores,Smartphone,Books,4.0,4.0,5.0,3.0,No,3.0,Always,,Sometimes,Under $50,Debit Card,"Yes, occasionally",8.0,4.0,2.0,Convenience,,Online,1
30.0,Male,Self-employed,Indonesia,"$3,000-6,000",Online only,Often,Global marketplace (Amazon etc.),Smartphone,Groceries,1.0,2.0,2.0,3.0,No,4.0,Often,2.0,Sometimes,Under $50,Debit Card,"No, never",7.0,6.0,2.0,Better prices,Try product before buying,Online,0
42.0,Male,Self-employed,Brazil,"Under $1,000",Online only,Often,Local e-commerce,Smartphone,Groceries,3.0,3.0,1.0,3.0,No,3.0,Always,2.0,Sometimes,$150-300,Cash,"No, never",10.0,10.0,2.0,More variety,No delivery wait,Online,0
31.0,Male,Employed full-time,Pakistan,"$3,000-6,000",Online only,Often,Local e-commerce,Smartphone,Clothing,3.0,2.0,5.0,4.0,No,3.0,Never,2.0,Never,$300-500,Credit Card,"No, never",7.0,8.0,4.0,Convenience,Not applicable,Online,0
36.0,Prefer not to say,Self-employed,United States,"$3,000-6,000",Equal mix,Occasionally,Local e-commerce,Smartphone,Clothing,2.0,2.0,5.0,4.0,No,1.0,Sometimes,1.0,Sometimes,$150-300,Cash,"No, never",6.0,4.0,2.0,Better prices,Try product before buying,Offline,0
16.0,Male,Student,Pakistan,"$1,000-3,000",In-store only,Often,Physical stores,Laptop,Clothing,2.0,,5.0,3.0,Yes,3.0,Sometimes,4.0,Never,$150-300,Debit Card,"Yes, regularly",8.0,7.0,4.0,,Try product before buying,Offline,1
20.0,Prefer not to say,Student,United States,"$3,000-6,000",Equal mix,Occasionally,Brand websites,Smartphone,Groceries,,5.0,3.0,5.0,Yes,4.0,Sometimes,3.0,Sometimes,$150-300,Credit Card,"No, never",9.0,8.0,3.0,More variety,Try product before buying,Equal / both,1
17.0,Male,Student,Philippines,"Under $1,000",Equal mix,Always,Local e-commerce,Smartphone,Electronics,4.0,,4.0,3.0,No,1.0,Sometimes,2.0,Sometimes,Under $50,Digital wallet,"Yes, occasionally",6.0,5.0,3.0,Better prices,Trust,Equal / both,1
,Male,Employed full-time,Colombia,"Under $1,000",Equal mix,Occasionally,Global marketplace (Amazon etc.),Laptop,Groceries,4.0,3.0,4.0,4.0,No,2.0,Often,1.0,Sometimes,Under $50,Cash,"No, never",10.0,8.0,1.0,Better prices,Try product before buying,Equal / both,0
19.0,Male,Student,Vietnam,"Under $1,000",Equal mix,Rarely,Global marketplace (Amazon etc.),Smartphone,Beauty & personal care,3.0,3.0,3.0,3.0,No,5.0,Often,2.0,Often,Under $50,Digital wallet,"Yes, occasionally",4.0,,2.0,Better prices,No delivery wait,Equal / both,1
18.0,Female,Employed part-time,Colombia,"$3,000-6,000",Equal mix,Always,Physical stores,Smartphone,,1.0,3.0,4.0,5.0,No,2.0,Never,1.0,Never,$150-300,Credit Card,"No, never",6.0,,2.0,Convenience,Try product before buying,Online,0
20.0,,Student,Indonesia,"Under $1,000",Equal mix,Often,,Smartphone,Clothing,4.0,3.0,,2.0,Yes,3.0,Often,3.0,Never,$50-150,Cash,"Yes, occasionally",7.0,7.0,2.0,Convenience,No delivery wait,Equal / both,1
21.0,Female,Student,India,"Under $1,000",Online only,,Global marketplace (Amazon etc.),Laptop,Clothing,1.0,3.0,4.0,4.0,No,2.0,Always,4.0,Never,Under $50,Digital wallet,"Yes, regularly",9.0,6.0,2.0,Not applicable,Trust,Online,1
19.0,Male,Student,Egypt,"$1,000-3,000",Equal mix,Occasionally,Local e-commerce,Smartphone,Beauty & personal care,3.0,,3.0,4.0,No,4.0,Often,4.0,Sometimes,$150-300,Debit Card,"No, never",6.0,,2.0,Convenience,Try product before buying,Equal / both,1
20.0,Female,Student,Brazil,"$1,000-3,000",Equal mix,,Brand websites,Smartphone,Electronics,5.0,1.0,4.0,4.0,Yes,,Always,3.0,Sometimes,$150-300,Cash,"Yes, regularly",3.0,3.0,1.0,More variety,Try product before buying,Online,1
26.0,Prefer not to say,Unemployed,Colombia,"Under $1,000",Equal mix,Occasionally,Global marketplace (Amazon etc.),Laptop,Electronics,3.0,3.0,4.0,5.0,No,,Often,2.0,Sometimes,$150-300,Cash,"No, never",10.0,3.0,3.0,Convenience,Trust,Online,1
35.0,Male,Employed full-time,South Africa,"Under $1,000",In-store only,Occasionally,Local e-commerce,Smartphone,Clothing,2.0,4.0,4.0,3.0,No,3.0,Sometimes,2.0,Never,,Credit Card,"No, never",9.0,6.0,2.0,Convenience,No delivery wait,Offline,0
42.0,Female,Employed full-time,South Africa,"$3,000-6,000",Equal mix,Often,Global marketplace (Amazon etc.),Laptop,Groceries,2.0,3.0,4.0,5.0,No,2.0,Often,2.0,Never,,Debit Card,"Yes, occasionally",9.0,8.0,2.0,More variety,Try product before buying,,0
21.0,Female,Student,Kenya,"Under $1,000",Equal mix,Often,Brand websites,Laptop,Clothing,4.0,3.0,5.0,5.0,No,2.0,Never,3.0,Sometimes,Under $50,Credit Card,"No, never",7.0,8.0,2.0,Convenience,No delivery wait,Offline,1
47.0,Male,Employed full-time,Pakistan,"$3,000-6,000",Equal mix,Occasionally,Global marketplace (Amazon etc.),Laptop,Electronics,4.0,4.0,5.0,2.0,,4.0,Never,3.0,Never,$150-300,Debit Card,"No, never",,6.0,3.0,,No delivery wait,Offline,0
33.0,Prefer not to say,Self-employed,South Africa,"$1,000-3,000",Equal mix,Occasionally,Global marketplace (Amazon etc.),Smartphone,Groceries,3.0,5.0,5.0,4.0,Yes,,Sometimes,4.0,Sometimes,$50-150,Credit Card,"No, never",6.0,6.0,2.0,Better prices,No delivery wait,Offline,1
,Female,Student,Pakistan,"$1,000-3,000",Equal mix,Often,Brand websites,Laptop,Clothing,3.0,3.0,3.0,5.0,No,,Never,2.0,Sometimes,$150-300,Credit Card,"Yes, regularly",7.0,6.0,3.0,Convenience,Trust,Equal / both,0
24.0,Prefer not to say,Self-employed,India,,Equal mix,Rarely,Global marketplace (Amazon etc.),Laptop,Electronics,5.0,4.0,5.0,3.0,No,4.0,Often,2.0,Never,$150-300,Digital wallet,"No, never",8.0,5.0,1.0,More variety,Try product before buying,Offline,1
24.0,Male,Employed part-time,Brazil,"$6,000+",Online only,Often,Brand websites,Smartphone,Groceries,1.0,2.0,4.0,5.0,No,2.0,Often,3.0,Never,$300-500,Cash,"Yes, occasionally",8.0,4.0,3.0,Convenience,Trust,Online,0
18.0,Male,Unemployed,United Kingdom,"$3,000-6,000",Online only,Occasionally,Local e-commerce,Smartphone,Electronics,4.0,2.0,4.0,2.0,No,2.0,Always,2.0,Sometimes,$50-150,Digital wallet,"Yes, occasionally",,,,,,,1
30.0,Prefer not to say,Employed part-time,Nigeria,"$1,000-3,000",Equal mix,Always,Global marketplace (Amazon etc.),Tablet,Electronics,3.0,2.0,5.0,3.0,No,1.0,Often,2.0,Never,$300-500,Debit Card,"No, never",9.0,,1.0,Better prices,,Online,0
27.0,Male,Unemployed,Turkiye,"Under $1,000",Equal mix,Always,Brand websites,Smartphone,Clothing,1.0,2.0,,4.0,Yes,2.0,Never,1.0,Never,$150-300,Digital wallet,"No, never",7.0,8.0,1.0,Convenience,Try product before buying,Offline,1
24.0,Male,Student,Brazil,"Under $1,000",Equal mix,Occasionally,Brand websites,Laptop,Groceries,5.0,4.0,,2.0,No,4.0,Often,4.0,Sometimes,$50-150,Credit Card,,6.0,10.0,1.0,More variety,Not applicable,Offline,1
28.0,Male,Employed part-time,India,"$1,000-3,000",Equal mix,Occasionally,Global marketplace (Amazon etc.),Smartphone,Books,3.0,,3.0,5.0,Yes,5.0,Sometimes,5.0,Often,$50-150,Debit Card,"No, never",9.0,7.0,3.0,Not applicable,Try product before buying,Online,1
25.0,Male,Student,India,,Online only,Occasionally,Global marketplace (Amazon etc.),Smartphone,Clothing,5.0,5.0,3.0,5.0,No,5.0,Often,4.0,Sometimes,$50-150,Digital wallet,"Yes, regularly",6.0,7.0,1.0,Not applicable,Try product before buying,Online,1
17.0,Female,Student,India,"$1,000-3,000",In-store only,Occasionally,Local e-commerce,Smartphone,,3.0,1.0,5.0,5.0,,3.0,Sometimes,2.0,Never,$500+,Credit Card,"No, never",,,,,,,0
,Female,Self-employed,Colombia,"$6,000+",Equal mix,Occasionally,Global marketplace (Amazon etc.),Smartphone,Clothing,3.0,3.0,2.0,4.0,No,3.0,Sometimes,5.0,,$50-150,Debit Card,"No, never",9.0,6.0,4.0,Not applicable,Not applicable,Equal / both,0
21.0,Female,Employed full-time,Vietnam,"$6,000+",Online only,,Local e-commerce,Smartphone,Electronics,2.0,2.0,4.0,4.0,No,1.0,Always,,Never,$500+,Credit Card,"Yes, occasionally",10.0,6.0,1.0,Convenience,Trust,Equal / both,0
23.0,Female,Student,Turkiye,"$1,000-3,000",Equal mix,Rarely,Global marketplace (Amazon etc.),Smartphone,Clothing,5.0,4.0,5.0,5.0,No,5.0,Often,3.0,Never,$150-300,Debit Card,"No, never",9.0,5.0,3.0,More variety,Try product before buying,Online,1
20.0,,Student,Poland,"Under $1,000",Online only,Occasionally,Global marketplace (Amazon etc.),Laptop,miscellaneous,2.0,3.0,5.0,4.0,No,2.0,Sometimes,,,Under $50,Debit Card,"Yes, occasionally",6.0,7.0,3.0,Convenience,Not applicable,Online,1
29.0,Female,Employed part-time,India,"Under $1,000",Equal mix,Always,,Smartphone,Groceries,3.0,3.0,3.0,3.0,Yes,3.0,Sometimes,4.0,Sometimes,$50-150,Digital wallet,"No, never",6.0,5.0,3.0,More variety,Try product before buying,Equal / both,1
,Male,Student,Nigeria,"Under $1,000",Online only,Often,Brand websites,Smartphone,Clothing,3.0,2.0,5.0,5.0,No,3.0,Always,3.0,Sometimes,Under $50,Debit Card,"No, never",7.0,5.0,2.0,,No delivery wait,,1
21.0,Male,Employed part-time,Egypt,"Under $1,000",Equal mix,Occasionally,Local e-commerce,Smartphone,Clothing,3.0,4.0,5.0,4.0,Yes,4.0,Sometimes,4.0,Never,Under $50,Cash,"No, never",8.0,7.0,3.0,Better prices,Try product before buying,Offline,1
33.0,Male,Employed full-time,South Africa,"Under $1,000",Equal mix,Always,Local e-commerce,Smartphone,Electronics,5.0,3.0,4.0,3.0,No,,Always,3.0,Never,$150-300,Digital wallet,"No, never",7.0,7.0,2.0,Convenience,Try product before buying,Equal / both,0
32.0,Female,Employed full-time,Turkiye,"$3,000-6,000",In-store only,Often,Local e-commerce,Smartphone,Clothing,3.0,,4.0,3.0,No,4.0,Sometimes,2.0,Never,$300-500,Debit Card,"No, never",7.0,5.0,2.0,Better prices,Trust,Offline,0
29.0,Male,,Mexico,"$3,000-6,000",In-store only,Occasionally,,Smartphone,Electronics,2.0,3.0,,3.0,No,4.0,Always,1.0,Sometimes,$300-500,Digital wallet,"Yes, occasionally",9.0,6.0,2.0,More variety,Try product before buying,Equal / both,0
19.0,Male,Student,Mexico,"Under $1,000",Equal mix,Occasionally,Global marketplace (Amazon etc.),Smartphone,Electronics,2.0,3.0,4.0,3.0,No,2.0,Always,1.0,Often,$500+,Digital wallet,"Yes, occasionally",6.0,4.0,,More variety,No delivery wait,Online,0
26.0,Prefer not to say,Self-employed,United States,,Online only,Occasionally,Brand websites,Smartphone,Books,3.0,3.0,5.0,5.0,Yes,3.0,Sometimes,2.0,Often,Under $50,Debit Card,"No, never",7.0,9.0,3.0,More variety,No delivery wait,Online,1
17.0,Male,Student,United States,"Under $1,000",Equal mix,Rarely,Local e-commerce,Smartphone,Beauty & personal care,1.0,1.0,5.0,5.0,No,1.0,Often,2.0,Sometimes,Under $50,Digital wallet,"No, never",6.0,7.0,3.0,Convenience,Trust,Online,1
21.0,Male,Unemployed,Colombia,"Under $1,000",Online only,Occasionally,Global marketplace (Amazon etc.),Smartphone,miscellaneous,4.0,5.0,5.0,3.0,No,4.0,Often,4.0,Sometimes,$50-150,Digital wallet,"Yes, occasionally",7.0,9.0,2.0,More variety,Try product before buying,Online,1
29.0,Prefer not to say,Employed full-time,Kenya,"$1,000-3,000",Online only,Often,Physical stores,Smartphone,Electronics,4.0,4.0,3.0,4.0,No,4.0,Sometimes,4.0,Often,$150-300,Digital wallet,"Yes, regularly",5.0,7.0,2.0,Convenience,Try product before buying,,0
36.0,Female,Employed full-time,Egypt,"$6,000+",Equal mix,Occasionally,Local e-commerce,Smartphone,Clothing,1.0,1.0,5.0,,No,1.0,Sometimes,1.0,Never,$50-150,Digital wallet,"No, never",5.0,6.0,,Convenience,Trust,Equal / both,0
18.0,Prefer not to say,Employed part-time,Brazil,"Under $1,000",Equal mix,Occasionally,Local e-commerce,Laptop,Clothing,4.0,4.0,5.0,3.0,No,3.0,Sometimes,4.0,Never,Under $50,Digital wallet,"No, never",8.0,3.0,2.0,Convenience,Try product before buying,Online,1
21.0,Male,Student,Vietnam,"Under $1,000",Equal mix,Occasionally,Global marketplace (Amazon etc.),Smartphone,Clothing,4.0,3.0,5.0,2.0,Yes,4.0,Sometimes,3.0,Never,Under $50,Digital wallet,"No, never",5.0,5.0,4.0,Convenience,Try product before buying,Offline,1
19.0,Male,Student,Indonesia,"$1,000-3,000",Equal mix,Occasionally,Brand websites,Laptop,Books,3.0,5.0,4.0,3.0,No,2.0,Never,4.0,Sometimes,Under $50,Debit Card,"No, never",7.0,7.0,3.0,More variety,Not applicable,Equal / both,1
42.0,Female,Self-employed,India,"$3,000-6,000",Online only,Often,Local e-commerce,Smartphone,Clothing,2.0,4.0,4.0,5.0,No,2.0,Often,1.0,Never,Under $50,Debit Card,"No, never",8.0,8.0,1.0,Better prices,Trust,Online,0
18.0,Male,Student,South Africa,"Under $1,000",Online only,Occasionally,Brand websites,Smartphone,Groceries,3.0,5.0,5.0,3.0,No,,Always,3.0,Sometimes,Under $50,Digital wallet,"No, never",9.0,3.0,1.0,Convenience,Trust,Online,1
